Date,Open,High,Low,Close,Volume,Adj. Close
14-02-2018,8503.13,9349.99,8461.38,9342.99,14487.81696,9342.99
15-02-2018,9342.99,9977,9188.1,9851.73,18677.32543,9851.73
16-02-2018,9834.89,10300,9707.51,10033.95,16714.08356,10033.95
17-02-2018,10049.23,10870.35,9902.78,10748.58,12814.50579,10748.58
18-02-2018,10748.36,11300,10153.15,10719.71,17704.27129,10719.71
19-02-2018,10719.72,11218.03,10307.51,11170.01,11387.01213,11170.01
20-02-2018,11170.1,11645.67,10901.65,11522.56,13083.20915,11522.56
21-02-2018,11522.56,11780,10432.75,10598.97,22261.90392,10598.97
22-02-2018,10581.05,10935,9775.92,10021.84,20507.69894,10021.84
23-02-2018,10021.84,10405.3,9600,10324.11,16411.83929,10324.11
24-02-2018,10315,10540.63,9533,9750,14772.84094,9750
25-02-2018,9738.93,9883.41,9260,9398.21,11082.15717,9398.21
26-02-2018,9398.67,10345,9304.95,10243.56,13754.65952,10243.56
27-02-2018,10246.01,10850,10130.8,10576.01,13849.30307,10576.01
28-02-2018,10578.37,11064.75,10364.78,10496.24,10171.1274,10496.24
1/3/2018,10510.99,10832.15,10223.41,10718.11,8539.780386,10718.11
2/3/2018,10713.87,11175,10692.32,10863.99,10325.42162,10863.99
3/3/2018,10860.1,11482.03,10779.5,11456.43,7961.107993,11456.43
4/3/2018,11458.31,11503.24,11054.91,11129,4909.25371,11129
5/3/2018,11125,11618.7,11097.5,11505.01,9807.588595,11505.01
6/3/2018,11500.3,11688,10800,10971.18,12868.15603,10971.18
7/3/2018,10971.17,10995,10417,10655,14123.25061,10655
8/3/2018,10655,10685,9450,9936.85,30907.56718,9936.85
9/3/2018,9934.24,9940.95,8366,8975.01,30838.99795,8975.01
10/3/2018,8975.01,9514.96,8600,9356.03,14343.01586,9356.03
11/3/2018,9354.71,9430.99,8450,9100,16094.9305,9100
12/3/2018,9100,9892,9098.96,9193.31,17058.73608,9193.31
13-03-2018,9185.77,9482.79,8742.07,9101.1,20325.72929,9101.1
14-03-2018,9081.06,9356.14,8595,8742.72,14172.31995,8742.72
15-03-2018,8737.5,8742.71,7682,8103.03,25031.65836,8103.03
16-03-2018,8102.99,8613.06,7914.08,8554.04,15748.13871,8554.04
17-03-2018,8554.42,8595.46,7860.36,7897.82,13015.34989,7897.82
18-03-2018,7903.98,8091.64,7325.37,7387.73,15134.3661,7387.73
19-03-2018,7378.96,8718.74,7326,8572.04,22040.50898,8572.04
20-03-2018,8579.46,8655.45,8232.14,8538.4,13505.91845,8538.4
21-03-2018,8540.07,9188.1,8530.23,9045.91,12876.84605,9045.91
22-03-2018,9045,9099.59,8503.52,8612.12,14032.15254,8612.12
23-03-2018,8610,8766.03,8265,8631.62,13508.50186,8631.62
24-03-2018,8631.62,9020,8552.55,8954.99,9780.978865,8954.99
25-03-2018,8955.28,8972.2,8368.63,8479.79,9338.943387,8479.79
26-03-2018,8477.2,8680,8019.42,8084.65,15703.84226,8084.65
27-03-2018,8080,8273.36,7742.11,8057.89,14594.98533,8057.89
28-03-2018,8057.89,8126.4,7723.03,7867.14,9735.828501,7867.14
29-03-2018,7867.14,8000,7330,7468,13711.54821,7468
30-03-2018,7483.25,7562.13,6550,6780.05,33121.86778,6780.05
31-03-2018,6787.49,7231.73,6591.79,7040.95,14942.38705,7040.95
1/4/2018,7042.44,7179.17,6429.23,6429.36,13792.13058,6429.36
2/4/2018,6429.36,7106.5,6427.16,7021.61,17337.53189,7021.61
3/4/2018,7028.8,7444.66,6894.57,7385.45,15979.32329,7385.45
4/4/2018,7382.38,7506.84,6766.76,6785.7,14678.09771,6785.7
5/4/2018,6779.32,6928.7,6578.95,6749.06,13248.90887,6749.06
6/4/2018,6750.72,6850,6510,6603.09,10067.56848,6603.09
7/4/2018,6603.09,7029.12,6539.69,7004.3,7649.161907,7004.3
8/4/2018,7004.3,7104.52,6863,7045.91,4965.542992,7045.91
9/4/2018,7042.72,7175.83,6660,6722.24,8538.767525,6722.24
10/4/2018,6728.77,6868.81,6611.49,6821.48,7367.046521,6821.48
11/4/2018,6821.48,6984.92,6779.44,6942.75,5557.22201,6942.75
12/4/2018,6940,8069.34,6758.45,7626.76,16385.55397,7626.76
13-04-2018,7626.76,8239.33,7570.05,8140.94,19507.97957,8140.94
14-04-2018,8140.94,8232.14,7805,7973.04,12343.49257,7973.04
15-04-2018,7968.81,8417,7929.88,8278.21,7605.72804,8278.21
16-04-2018,8276.4,8424.99,7905,7974.94,10671.10879,7974.94
17-04-2018,7969.48,8160.85,7938.78,8075.33,7235.48753,8075.33
18-04-2018,8083.54,8170.99,7806.81,7995.11,9441.349753,7995.11
19-04-2018,8000.66,8282,7995.11,8228.55,10405.95669,8228.55
20-04-2018,8228.99,8567.68,8200.01,8463.15,13554.10528,8463.15
21-04-2018,8469.46,9023.4,8453.5,8822.66,18074.14414,8822.66
22-04-2018,8825.99,9036.52,8718.74,8940.71,8603.574622,8940.71
23-04-2018,8933.19,9021.79,8760,8904.96,9899.37937,8904.96
24-04-2018,8904.96,9413,8794.67,9364.2,17131.4833,9364.2
25-04-2018,9362.24,9755.53,8751,8961.29,31854.59044,8961.29
26-04-2018,8964.9,9175,8647.29,8809.27,21917.02403,8809.27
27-04-2018,8805.54,9387.82,8773.95,9230,12898.76213,9230
28-04-2018,9234.52,9425,8854.47,9350,16501.88919,9350
29-04-2018,9353.82,9538.75,9180,9324.92,12877.72489,9324.92
30-04-2018,9327.98,9443.96,9111,9290.01,7026.606347,9290.01
1/5/2018,9290.71,9355.42,8815.91,8921.37,12650.70149,8921.37
2/5/2018,8908.39,9188.1,8902.07,9144.29,10194.90779,9144.29
3/5/2018,9144.97,9480,9051.48,9417.03,9499.422018,9417.03
4/5/2018,9419.9,9799.99,9408.3,9600,10660.51707,9600
5/5/2018,9603.56,9948.98,9562.6,9874.48,6178.189616,9874.48
6/5/2018,9874.36,9918.41,9375,9463.2,9111.639346,9463.2
7/5/2018,9461.78,9634.5,9175,9349,11808.26588,9349
8/5/2018,9349,9450,9015,9178.79,11889.7237,9178.79
9/5/2018,9174.73,9328.09,8974.62,9272.3,11502.23918,9272.3
10/5/2018,9272.3,9393,9179.98,9326.72,9064.222113,9326.72
11/5/2018,9326.72,9365,8503.74,8582.33,21300.33922,8582.33
12/5/2018,8582.61,8684.3,8208.81,8362.69,16648.62363,8362.69
13-05-2018,8361.97,8644.03,8264.98,8618.15,9542.272943,8618.15
14-05-2018,8613.68,8828.27,8286.57,8793.42,17761.58153,8793.42
15-05-2018,8785.6,8900.9,8467.42,8520.3,13680.40325,8520.3
16-05-2018,8527.81,8589.1,8100.01,8285.8,13396.60958,8285.8
17-05-2018,8277.76,8500,8191.14,8306.39,8278.102031,8306.39
